repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language,Language Frequency
newwebash/cat-clicker,0,0,1,0,0,JavaScript,253
masterpranay1/form-validator,0,0,1,0,0,JavaScript,253
aka-jain/Github-Search,0,0,1,0,0,JavaScript,253
AshAman999/Link-Shortner,0,0,1,0,0,JavaScript,253
EstrelaE/quadras-dos-santos,0,0,1,0,0,JavaScript,253
ifnotak/Strenua,0,0,1,0,0,JavaScript,253
sreehari2003/Netflix-clone-React,0,0,1,0,0,JavaScript,253
PawanKolhe/calc-2000-web-app,0,0,1,0,0,JavaScript,253
ForrestPi/deepfakeDetection,0,0,1,0,0,Python,155
jhonsnow456/Tkinter-Collections,0,0,1,0,0,Python,155
jhonsnow456/CLI-RPG-Game,0,0,1,0,0,Python,155
GmGniap/MOHS_Scraper,0,0,1,0,0,Python,155
taranjeet/hindi-news-classifier,0,0,1,0,0,Python,155
shubhamkarande13/1stRepo,0,0,1,0,0,HTML,72
skpandey885/Flipkart-UI-Clone,0,0,1,0,0,HTML,72
newwebash/fcc-product-landing-page,0,0,1,0,0,HTML,72
newwebash/fcc-tribute-page,0,0,1,0,0,HTML,72
Ipseeta/JavaPractice,0,0,1,0,0,Java,44
idvoretskyi/community-tools,0,0,1,0,0,CSS,37
Debajyoti14/Meal-App,0,0,1,0,0,Dart,36
artkirienko/int-flip,0,0,1,0,0,C,26
artkirienko/int-flip,0,0,1,0,0,C,26
mager/cafebean-api,0,0,1,0,0,Go,15
ralexstokes/cargo-template,0,0,1,0,0,Rust,10
amacgregor/epub_parser,0,0,1,0,0,Elixir,2
